ProcessId,ProcessName,PackageName,EnvironmentName,FullyQualifiedName,CountExecuting,CountPending,CountSuspended,CountResumed,CountSuccessful,CountErrors,CountStopped,AverageDurationInSeconds,AveragePendingTimeInSeconds,TotalRows,EntityId
278,Dashboard Reversal Other Bank,DashboardReversalOtherBank,NULL,IT-OPS-M,0,0,0,0,0,0,0,NULL,NULL,213,278
346,Dashboard Voice V26,DashboardVoiceContactBRI_Windows,NULL,POD/Robot2,0,0,0,0,0,0,0,NULL,NULL,213,346
141,DDB.AssignTicketHelpdesk,DDB.AssignTicket_v2,NULL,DDB/Assign Ticket,0,0,0,0,0,0,0,NULL,NULL,213,141
39,DDB.CashoutPendingG,DDB.CashoutPendingG,NULL,DDB,0,0,0,0,0,0,0,NULL,NULL,213,39
38,DDB.EODCeria,DDB.EODCeria,NULL,DDB,0,0,0,0,0,0,0,NULL,NULL,213,38
424,DDB.HourlyMonitoringEcosystem.CBMerror,EcoOps-Bot-HourlyReport-CBM-error,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,424
164,DDB.HourlyMonitoringEcosystem2,DDB.HourlyMonitoringEcosystem2,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,164
291,DRD.ApplicationIncidentDataFeeding.DailyProcess,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,291
313,DRD.ApplicationIncidentDataFeeding.FlagingDataMerge,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,313
292,DRD.ApplicationIncidentDataFeeding.WeeklyProcessNew,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,292
293,DRD.ApplicationIncidentDataFeeding.WeeklyProcessUpdated,DRD.Archer,NULL,DRD/Archer Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,293
364,DRD_IncidentLogIRIStoArcher,DRD_IncidentLogIRIStoArcher,NULL,DRD/IRIS_IncidentReporting,0,0,0,0,0,0,0,NULL,NULL,213,364
379,DRD_IncidentLogIRIStoArcher_DailyUpdate,DRD_IncidentLogIRIStoArcher,NULL,DRD/IRIS_IncidentReporting,0,0,0,0,0,0,0,NULL,NULL,213,379
384,ecosystemHourlyMonitoring,DDB.HourlyMonitoringEcosystemNew,NULL,DDB/zDigiBot,0,0,0,0,0,0,0,NULL,NULL,213,384
389,EcosystemOperation.HourlyMonitoring,EcosystemOperation.HourlyMonitoring,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,389
410,EcosystemOperation.HourlyMonitoring2,EcosystemOperation.HourlyMonitoring2,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,410
408,EcosystemOperation.HourlyRundeckMonitoring,EcosystemOperation.RundeckMonitoring,NULL,DDB/Hourly Monitoring,0,0,0,0,0,0,0,NULL,NULL,213,408
303,EDM.DSA.TunggalisasiDataMassal,EDM.DSA.TunggalisasiDataMassal,NULL,SCC-Main/EDM,0,0,0,0,0,0,0,NULL,NULL,213,303
59,EOD_PreprodCeria,EOD_PreprodCeria,NULL,DDB,0,0,0,0,0,0,0,NULL,NULL,213,59
12,Extraction_Prod,Extraction_Prod,NULL,POD/Robot3,0,0,0,0,0,0,0,NULL,NULL,213,12
19,Extraction_Prod,Extraction_Prod,NULL,POD/Robot1,0,0,0,0,0,0,0,NULL,NULL,213,19
406,Feeding Data BSA,VAD.FeedingDataBSA,NULL,VAD,0,0,0,0,0,0,0,NULL,NULL,213,406
267,FMA.MonitoringPelaporanPajak_FMA,FMA.MonitoringPelaporanPajak,NULL,CDD - FMA - POD-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,267
269,FMA.SupportMonitoringPelaporanPajak.MonitoringPelaporan_FMA,FMA.SupportMonitoringPelaporanPajak.MonitoringPelaporan,NULL,CDD - FMA - POD-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,269
268,FMA.SupportMonitoringPelaporanPajak.ReconTax_FMA,FMA.SupportMonitoringPelaporanPajak.ReconTax,NULL,CDD - FMA - POD-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,268
256,FMA.TaxReportSummary_FMA,FMA.TaxReportSummary,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,256
362,FST Chargeback QRIS,FST.Chargeback.QRIS,NULL,RPT/FST.ChargebackQRIS,0,0,0,0,60,51,24,1900,0,213,362
397,FST.ApprovalIPM,FST-Approval.IPM,NULL,RPT/FST.ApprovalIPM,0,0,0,0,82,12,3,2066,8,213,397
398,FST.ApprovalIPMChecker,FST-Approval.IPM.Checker,NULL,RPT/FST.ApprovalIPM,0,0,0,0,2,0,0,2908,0,213,398
432,FST.ChargebackQRISRintis,FST.ChargebackQRISRintis,NULL,RPT/FST.ChargebackQRISRintis,0,0,0,0,53,5,11,2806,0,213,432
403,FST.RekonMasterCard,FST.RekonMastercard,NULL,FST/Rekonsiliasi-Data-RE,0,0,0,0,0,0,0,NULL,NULL,213,403
405,FST.RekonSettlement,FST.RekonSettlement,NULL,FST/Rekonsiliasi-Data-RE,0,0,0,0,0,0,0,NULL,NULL,213,405
401,FST.RekonVisa,FST.RekonVisa,NULL,FST/Rekonsiliasi-Data-RE,0,0,0,0,0,0,0,NULL,NULL,213,401
373,HCBP -  Pendaftaran BPJS,HCBP-PedaftaranBPJS,NULL,HCBP-M/HCBP-PendaftaranPenonaktifanBPJS,0,0,0,0,0,0,0,NULL,NULL,213,373
372,HCBP - Penonaktifan BPJS,HCBP-PenonaktifanBPJS,NULL,HCBP-M/HCBP-PendaftaranPenonaktifanBPJS,0,0,0,0,0,0,0,NULL,NULL,213,372
6,InputTiplus_Prod,InputTiPlus_Prod,NULL,POD/Robot1,0,0,0,0,0,0,0,NULL,NULL,213,6
13,InputTiplus_Prod,InputTiPlus_Prod,NULL,POD/Robot3,0,0,0,0,0,0,0,NULL,NULL,213,13
266,ISC_DLP_CDD,ISC_DLP,NULL,CDD - FMA - POD-M/CDD,0,0,0,0,13,0,0,26,2534,213,266
377,Monitoring SLIK Notification & Alert,OPX.MonitoringSlikGrafanaNotification,NULL,OPX,0,0,0,0,0,0,0,NULL,NULL,213,377
378,Monitoring SLIK Report,OPX.MonitoringSlikGrafanaReport,NULL,OPX,0,0,0,0,0,0,0,NULL,NULL,213,378
435,OPX_VisibilityTools_BRISPOT_RE,OPX_VisibilityTools_BRISPOT_RE,NULL,OPX/OPX.VisibilityTools,0,0,0,0,42,0,0,432,92,213,435
428,OPX_VisibilityTools_Brisurf,OPX_VisibilityTools_Brisurf,NULL,OPX/OPX.VisibilityTools,0,0,0,0,16,0,0,62,326,213,428
427,OPX_VisibilityTools_NDS,OPX_VisibilityTools_NDS,NULL,OPX/OPX.VisibilityTools,0,0,0,0,21,0,0,49,398,213,427
357,Penarikan EJ Log,POD-PenarikanEJLog,NULL,POD/Penarikan EJ Logs,0,0,0,0,0,0,0,NULL,NULL,213,357
319,Pengajuan.SBUM,Pengajuan.SBUM,NULL,CDD-Main/CDD-SBUM,0,0,0,0,0,0,0,NULL,NULL,213,319
166,POD Update Database SafeWatch,POD.UpdateDatabaseSafeWatch,NULL,POD/Update-SafeWatch,0,0,0,0,667,0,0,182,3,213,166
270,POD.ExportLC.PaymentRegress_POD,POD.ExportLC.PaymentRegress,NULL,CDD - FMA - POD-M/POD,0,0,0,0,28,7,0,906,7218,213,270
417,POD.PaymentRegress.Approver,POD.PaymentRegress.Approver,NULL,CDD - FMA - POD-M/POD,0,0,0,0,15,2,0,1362,7,213,417
107,POD.RetryEmailNotifNotaDinasDownloaded,POD.RetryEmailNotifNotaDinasDownloaded,NULL,POD/Proceed Settlements,0,0,0,0,1,0,0,9,0,213,107
62,POD.SettlementNostroTIPlus.RekonNostro,POD.SettlementNostroTIPlus.RekonNostro,NULL,POD/Proceed Settlements,0,0,0,0,65,14,11,3357,4602,213,62
63,POD.SettlementNostroTIPlus.SettleTIPlus,POD.SettlementNostroTIPlus.SettleTIPlus,NULL,POD/Proceed Settlements,0,0,0,0,39,9,35,9338,3220,213,63
433,POD.SinkronisasiDataBlackList,POD.SinkronisasiDataBlackList,NULL,POD/Update-SafeWatch,0,0,0,0,120,1,0,78,96,213,433
413,POD.Tracer.Dispatcher,POD.Tracer.Dispatcher,NULL,CDD - FMA - POD-M/POD,0,0,0,0,10,4,1,14174,8978,213,413
414,POD.Tracer.Performer,POD.Tracer.Performer,NULL,CDD - FMA - POD-M/POD,0,0,0,0,12,0,0,1511,76,213,414
223,POD_SwiftDocumentClassification,POD_SwiftDocumentClassification,NULL,POD/Incoming Swift,0,0,0,0,0,0,0,NULL,NULL,213,223
338,POD_SwiftDocumentClassification,POD_SwiftDocumentClassification,NULL,DDB/zDigiBot,0,0,0,0,0,0,0,NULL,NULL,213,338
400,POD_SwiftDocumentClassification_Windows,POD_SwiftDocumentClassification_Windows,NULL,POD/Incoming Swift,0,0,0,0,39,0,1,3206,6,213,400
365,POD_SwiftDocumentClassification_Windows,POD_SwiftDocumentClassification_Windows,NULL,POD/Incoming Swift Temp,0,0,0,0,0,0,0,NULL,NULL,213,365
361,Process Dio,Process.Dio,NULL,RPT/FST.InputDio,0,0,0,0,0,0,0,NULL,NULL,213,361
359,publish_package_HA_test,publish_package_HA_test,NULL,POD/Incoming Swift,0,0,0,0,0,0,0,NULL,NULL,213,359
358,publish_package_HA_test,publish_package_HA_test,NULL,ISG,0,0,0,0,0,0,0,NULL,NULL,213,358
254,ReportEarlyWarningSistem,ReportEarlyWarningSistem,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,254
253,ReportEarlyWarningSistem.GenerateFilesForKanwil,ReportEarlyWarningSistem.GenerateFilesForKanwil,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,253
255,ReportEarlyWarningSistem.GetKursKMK,ReportEarlyWarningSistem.GetKursKMK,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,255
312,ReportEWSTP.CleanUpFiles,ReportEarlyWarningSistem.CleanUpFiles,NULL,TRB-FMA-M/FMA,0,0,0,0,0,0,0,NULL,NULL,213,312
46,RPA ISG Notification ncm,RPA_ISG,NULL,ISG,0,0,0,0,0,0,0,NULL,NULL,213,46
279,RPA.SDKMANUAL_Env_IT-OPS,RPA.SDKMANUAL,NULL,IT-OPS-M,0,0,0,0,0,0,0,NULL,NULL,213,279
92,RPT.UnbalanceCardlink,Unbalance.Cardlink,NULL,RPT,0,0,0,0,0,0,0,NULL,NULL,213,92
440,SCC - Pengecekan Transaksi Gagal untuk PLN,SCC.PengecekanTransaksiGagal.PLN,NULL,SCC-PLN,0,0,0,0,0,0,0,NULL,NULL,213,440
272,SCC.Automasi.Ticket.CRS,SCC.Automasi.Ticket.CRS,NULL,POD/Robot3,0,0,0,0,0,0,0,NULL,NULL,213,272
281,SCC.Automasi.Ticket.CRS_TEMP,SCC.Automasi.Ticket.CRS,NULL,IT-OPS-M,0,0,0,0,0,0,0,NULL,NULL,213,281
295,SCC.CCD.PengecekanGagalTarikTunai.DailyReport,SCC.CCD.PengecekanGagalTarikTunai.DailyReport,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,295
307,SCC.CCD.PengecekanGagalTarikTunai.DailyReportMakerOnUs,SCC.CCD.PengecekanGagalTarikTunai.DailyReportMakerOnUs,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunaiMakerOnUs,0,0,0,0,0,0,0,NULL,NULL,213,307
302,SCC.CCD.PengecekanGagalTarikTunai.DailyReportReject,SCC.CCD.PengecekanGagalTarikTunai.DailyReportReject,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,302
296,SCC.CCD.PengecekanGagalTarikTunai.Dispatcher,SCC.CCD.PengecekanGagalTarikTunai.Dispatcher,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,296
299,SCC.CCD.PengecekanGagalTarikTunai.DispatcherRejectTicket,SCC.CCD.PengecekanGagalTarikTunai.DispatcherRejectTicket,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,299
300,SCC.CCD.PengecekanGagalTarikTunai.DispatcherRetryTicket,SCC.CCD.PengecekanGagalTarikTunai.DispatcherRetryTicket,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,300
306,SCC.CCD.PengecekanGagalTarikTunai.MakerOnUs,SCC.CCD.PengecekanGagalTarikTunai.MakerOnUs,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunaiMakerOnUs,0,0,0,0,0,0,0,NULL,NULL,213,306
294,SCC.CCD.PengecekanGagalTarikTunai.Performer,SCC.CCD.PengecekanGagalTarikTunai.Performer,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,294
301,SCC.CCD.PengecekanGagalTarikTunai.RejectToLayanan,SCC.CCD.PengecekanGagalTarikTunai.RejectToLayanan,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,301
385,SCC.Issuer_QrisOnUsOffUs,SCC.Issuer_QrisOnUsOffUs,NULL,SCC-M/SCC.Issuer_QrisOnUsOffUs,0,0,0,0,202,26,3,24023,606,213,385
229,SCC.Issuer1.ATMTartunTransfer.KOR,SCC.Issuer1.ATMTartunTransfer,NULL,SCC-M/TF Bank Lain - BI Fast,0,0,0,0,87,2,0,22847,10217,213,229
347,SCC.Issuer1.ATMTartunTransfer.KOR.DailyReport,SCC.Issuer1.ATMTartunTransfer.KOR.DailyReport,NULL,SCC-M/TF Bank Lain - BI Fast,0,0,0,0,31,0,0,26,17452,213,347
230,SCC.Issuer1.ATMTartunTransfer.Rekon,SCC.Issuer1.ATMTartunTransfer,NULL,SCC-M/TF Bank Lain - BI Fast,0,0,0,0,0,0,0,NULL,NULL,213,230
349,SCC.NotifikasiBAOUkerVendor,SCC.NotifikasiBAOUkerVendor,NULL,SCC-M/SCC-PemenuhanDataKomplain,0,0,0,0,0,0,0,NULL,NULL,213,349
350,SCC.NUV.BAOCCTVEJLOG,SCC.NUV.BAOCCTVEJLOG,NULL,SCC-M/SCC-PemenuhanDataKomplain,0,0,0,0,0,0,0,NULL,NULL,213,350
228,SCC.PengecekanTransaksiGagal.PLN,SCC.PengecekanTransaksiGagal.PLN,NULL,SCC-M/PLN,0,0,0,0,104,0,0,408,83,213,228
239,SCC.PTG.BRIVA,SCC.PengecekanTransaksiGagal.BRIVA,NULL,SCC-M/BRIVA - Pulsa,0,0,0,0,0,0,0,NULL,NULL,213,239
241,SCC.PTG.DailyReport,SCC.PengecekanTransaksiGagal.DailyReport,NULL,SCC-M/BRIVA - Pulsa,0,0,0,0,0,0,0,NULL,NULL,213,241
240,SCC.PTG.PULSA,SCC.PengecekanTransaksiGagal.PULSA,NULL,SCC-M/BRIVA - Pulsa,0,0,0,0,0,0,0,NULL,NULL,213,240
421,SCC.UpdatePassword,SCC.UpdatePassword,NULL,SCC-M/SCC.UpdatePassword,0,0,0,0,39,0,0,2468,423,213,421
282,SCC_AutomasiTiketOutgoing-CRS,SCC_AutomasiTiketOutgoing-CRS,NULL,IT-OPS-M,0,0,0,0,0,0,0,NULL,NULL,213,282
273,SCC_AutomasiTiketOutgoing-CRS,SCC_AutomasiTiketOutgoing-CRS,NULL,POD/Robot3,0,0,0,0,0,0,0,NULL,NULL,213,273
323,SCC_AutomasiTiketOutgoing-CRS,SCC_AutomasiTiketOutgoing-CRS,NULL,POD/Robot1,0,0,0,0,0,0,0,NULL,NULL,213,323
342,Test Telegram API,Test.Telegram,NULL,RPT/FST.ChargebackQRIS,0,0,0,0,0,0,0,NULL,NULL,213,342
341,Test.Delay,Test.Delay,NULL,CDD-M/CDD-SignerApprovalLOA,0,0,0,0,0,0,0,NULL,NULL,213,341
429,Test.Delay,Test.Delay,NULL,OPX/OPX.VisibilityTools,0,0,0,0,0,0,0,NULL,NULL,213,429
392,Test.Delay,Test.Delay,NULL,SCC-M/SCC.Issuer_QrisOnUsOffUs,0,0,0,0,0,0,0,NULL,NULL,213,392
48,Test.Delay,Test.Delay,NULL,ISG,0,0,0,0,0,0,0,NULL,NULL,213,48
43,Test.Delay,Test.Delay,NULL,POD/Update-SafeWatch,0,0,0,0,0,0,0,NULL,NULL,213,43
91,Test.Delay,Test.Delay,NULL,DRD/Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,91
212,Test.Delay,Test.Delay,NULL,DDB/zDigiBot,0,0,0,0,0,0,0,NULL,NULL,213,212
211,Test.Delay,Test.Delay,NULL,CDD-ReportDailyCetakKartu,0,0,0,0,0,0,0,NULL,NULL,213,211
404,Test.Delay,Test.Delay,NULL,CDD - FMA - POD-M/POD,0,0,0,0,0,0,0,NULL,NULL,213,404
297,Test.Delay_SCC.CCD.PengecekanGagalTarikTunai.Environment,Test.Delay,NULL,SCC-Main/SCC.CCD.PengecekanGagalTarikTunai,0,0,0,0,0,0,0,NULL,NULL,213,297
95,Test.DRD.IncidentApplicationReporting.DailyProcess,Test.DRD.IncidentApplicationReporting.DailyProcess,NULL,DRD/Incident Application Reporting,0,0,0,0,0,0,0,NULL,NULL,213,95
402,test.email,test.email,NULL,POD/Update-SafeWatch,0,0,0,0,0,0,0,NULL,NULL,213,402
344,test.email,test.email,NULL,POD/Proceed Settlements,0,0,0,0,0,0,0,NULL,NULL,213,344
436,test.email,test.email,NULL,CDD - FMA - POD-M/POD,0,0,0,0,0,0,0,NULL,NULL,213,436
380,test.email,test.email,NULL,POD/Incoming Swift,0,0,0,0,0,0,0,NULL,NULL,213,380
343,test.email,test.email,NULL,CDD-M/CDD-SignerApprovalLOA,0,0,0,0,0,0,0,NULL,NULL,213,343
332,test.email,test.email,NULL,TRB.Issuance/TRB.ImportLC,0,0,0,0,0,0,0,NULL,NULL,213,332
320,Test.Email,test.email,NULL,TRB/TRB.ReportNotaDinas,0,0,0,0,0,0,0,NULL,NULL,213,320
388,test.email,test.email,NULL,OPX,0,0,0,0,0,0,0,NULL,NULL,213,388
387,test.get.email,test.get.email,NULL,OPX,0,0,0,0,0,0,0,NULL,NULL,213,387
399,test.get.email,test.get.email,NULL,POD/Incoming Swift,0,0,0,0,0,0,0,NULL,NULL,213,399
316,test.login,test.login,NULL,CDD-M CIN/Verification CC,0,0,0,0,0,0,0,NULL,NULL,213,316
391,Test-Project,Test-Project,NULL,SCC-M/SCC.Issuer_QrisOnUsOffUs,0,0,0,0,0,0,0,NULL,NULL,213,391
434,TestSendEmail,TestSendEmail,NULL,SCC-M/BRIVA - Pulsa,0,0,0,0,0,0,0,NULL,NULL,213,434
156,testTRBIss,testTRBIss,NULL,TRB.Issuance,0,0,0,0,0,0,0,NULL,NULL,213,156
